TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
2.41E+04,-1.02,-1.06,-0.18,-0.18,,4.81E+05,0.0034375
2.41E+04,-1.06,-1.02,-0.18,-0.16,,4.83E+05,0.00257812
2.42E+04,-1.06,-1.06,-0.18,-0.18,,4.84E+05,0.00171875
2.43E+04,-1.06,-1.02,-0.18,-0.18,,4.86E+05,0.00226562
2.44E+04,-1.06,-1.06,-0.18,-0.18,,4.88E+05,0.00289063
2.45E+04,-1.06,-1.02,-0.18,-0.16,,4.89E+05,0.00289063
2.45E+04,-1.06,-1.06,-0.18,-0.18,,4.91E+05,0.00289063
2.46E+04,-1.06,-1.06,-0.18,-0.16,,4.92E+05,0.00226562
2.47E+04,-1.06,-1.06,-0.18,-0.18,,4.94E+05,0.00171875
2.48E+04,-1.06,-1.02,-0.18,-0.18,,4.95E+05,0.00195312
2.48E+04,-1.02,-1.06,-0.18,-0.18,,4.97E+05,0.00226562
2.49E+04,-1.02,-1.02,-0.18,-0.16,,4.98E+05,0.00226562
2.50E+04,-1.06,-1.06,-0.18,-0.18,,5.00E+05,0.00226562
2.51E+04,-1.06,-1.02,-0.18,-0.16,,5.02E+05,0.00226562
2.52E+04,-1.02,-1.06,-0.18,-0.18,,5.03E+05,0.00226562
2.52E+04,-1.02,-1.02,-0.18,-0.16,,5.05E+05,0.00257812
2.53E+04,-1.06,-1.06,-0.18,-0.18,,5.06E+05,0.00289063
2.54E+04,-1.02,-1.02,-0.18,-0.16,,5.08E+05,0.00289063
2.55E+04,-1.06,-1.06,-0.18,-0.18,,5.09E+05,0.00289063
2.55E+04,-1.06,-1.02,-0.18,-0.16,,5.11E+05,0.00257812
2.56E+04,-1.06,-1.06,-0.18,-0.2,,5.13E+05,0.00226562
2.57E+04,-1.06,-1.02,-0.16,-0.16,,5.14E+05,0.00226562
2.58E+04,-1.02,-1.02,-0.16,-0.18,,5.16E+05,0.00226562
2.59E+04,-1.02,-1.02,-0.16,-0.16,,5.17E+05,0.00226562
2.59E+04,-1.02,-1.06,-0.16,-0.18,,5.19E+05,0.00226562
2.60E+04,-1.06,-1.02,-0.18,-0.16,,5.20E+05,0.00226562
2.61E+04,-1.06,-1.06,-0.18,-0.2,,5.22E+05,0.00226562
2.62E+04,-1.02,-1.02,-0.18,-0.18,,5.23E+05,0.00195312
