TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
3.63E+04,1.62,1.62,-0.94,-0.98,,7.25E+05,0.00109375
3.64E+04,1.62,1.62,-0.98,-0.94,,7.28E+05,0.00109375
3.66E+04,1.58,1.58,-0.98,-0.98,,7.31E+05,0.00109375
3.67E+04,1.62,1.62,-0.98,-0.94,,7.34E+05,0.000546875
3.69E+04,1.62,1.62,-0.98,-0.98,,7.38E+05,0
3.70E+04,1.62,1.62,-0.98,-0.94,,7.41E+05,0.000859375
3.72E+04,1.58,1.58,-0.94,-0.94,,7.44E+05,0.00171875
3.73E+04,1.58,1.62,-0.94,-0.94,,7.47E+05,0.00109375
3.75E+04,1.62,1.58,-0.94,-0.94,,7.50E+05,0.000546875
3.77E+04,1.58,1.62,-0.94,-0.94,,7.53E+05,0.00078125
3.78E+04,1.58,1.58,-0.94,-0.94,,7.56E+05,0.00109375
3.80E+04,1.62,1.62,-0.94,-0.94,,7.59E+05,0.00078125
3.81E+04,1.62,1.62,-0.94,-0.94,,7.63E+05,0.000546875
3.83E+04,1.62,1.62,-0.94,-0.94,,7.66E+05,0.00078125
3.84E+04,1.62,1.62,-0.94,-0.94,,7.69E+05,0.00109375
3.86E+04,1.62,1.62,-0.94,-0.94,,7.72E+05,0.00078125
3.88E+04,1.62,1.62,-0.94,-0.94,,7.75E+05,0.000546875
3.89E+04,1.62,1.62,-0.94,-0.94,,7.78E+05,0.00109375
3.91E+04,1.62,1.58,-0.98,-0.98,,7.81E+05,0.00171875
3.92E+04,1.62,1.62,-0.94,-0.94,,7.84E+05,0.00140625
3.94E+04,1.62,1.62,-0.94,-0.94,,7.88E+05,0.00109375
3.95E+04,1.62,1.62,-0.94,-0.94,,7.91E+05,0.00109375
3.97E+04,1.62,1.62,-0.94,-0.94,,7.94E+05,0.00109375
3.98E+04,1.62,1.62,-0.94,-0.94,,7.97E+05,0.00078125
4.00E+04,1.62,1.58,-0.98,-0.98,,8.00E+05,0.000546875
4.02E+04,1.58,1.62,-0.94,-0.94,,8.03E+05,0.000546875
4.03E+04,1.58,1.58,-0.94,-0.94,,8.06E+05,0.000546875
4.05E+04,1.58,1.58,-0.94,-0.94,,8.09E+05,0.00078125
4.06E+04,1.62,1.58,-0.98,-0.98,,8.13E+05,0.00109375
4.08E+04,1.62,1.62,-0.98,-0.94,,8.16E+05,0.00078125
4.09E+04,1.62,1.58,-0.94,-0.94,,8.19E+05,0.000546875
4.11E+04,1.58,1.62,-0.94,-0.94,,8.22E+05,0.00078125
4.13E+04,1.58,1.58,-0.94,-0.94,,8.25E+05,0.00109375
4.14E+04,1.62,1.62,-0.94,-0.94,,8.28E+05,0.00109375
4.16E+04,1.58,1.58,-0.98,-0.98,,8.31E+05,0.00109375
4.17E+04,1.58,1.58,-0.98,-0.94,,8.34E+05,0.00078125
4.19E+04,1.58,1.58,-0.94,-0.98,,8.38E+05,0.000546875
4.20E+04,1.58,1.58,-0.98,-0.94,,8.41E+05,0.000546875
4.22E+04,1.62,1.58,-0.98,-0.98,,8.44E+05,0.000546875
4.23E+04,1.58,1.62,-0.94,-0.94,,8.47E+05,0.00078125
4.25E+04,1.58,1.58,-0.98,-0.98,,8.50E+05,0.00109375
4.27E+04,1.58,1.58,-0.94,-0.94,,8.53E+05,0.00109375
4.28E+04,1.58,1.58,-0.98,-0.98,,8.56E+05,0.00109375
4.30E+04,1.58,1.62,-0.98,-0.94,,8.59E+05,0.00109375
4.31E+04,1.62,1.62,-0.94,-0.98,,8.63E+05,0.00109375
4.33E+04,1.62,1.62,-0.98,-0.94,,8.66E+05,0.00109375
4.34E+04,1.58,1.58,-0.94,-0.94,,8.69E+05,0.00109375
4.36E+04,1.58,1.62,-0.94,-0.94,,8.72E+05,0.00140625
4.38E+04,1.58,1.58,-0.94,-0.94,,8.75E+05,0.00171875
4.39E+04,1.58,1.58,-0.94,-0.94,,8.78E+05,0.00109375
4.41E+04,1.58,1.58,-0.98,-0.98,,8.81E+05,0.000546875
4.42E+04,1.58,1.62,-0.98,-0.94,,8.84E+05,0.00109375
4.44E+04,1.58,1.58,-0.94,-0.94,,8.88E+05,0.00171875
4.45E+04,1.58,1.58,-0.94,-0.94,,8.91E+05,0.00140625
4.47E+04,1.58,1.58,-0.94,-0.94,,8.94E+05,0.00109375
4.48E+04,1.58,1.62,-0.94,-0.94,,8.97E+05,0.00109375
4.50E+04,1.58,1.58,-0.98,-0.98,,9.00E+05,0.00109375
4.52E+04,1.58,1.62,-0.94,-0.94,,9.03E+05,0.00109375
